open,high,low,close,volume,amount
10.8,10.82,10.79,10.8,1435.0,1549700.0
10.79,10.82,10.77,10.82,965.0,1041231.0
10.81,10.84,10.8,10.84,1078.0,1166544.0
10.83,10.84,10.82,10.82,786.0,850954.0
10.83,10.83,10.79,10.79,407.0,439813.0
10.79,10.8,10.77,10.77,1036.0,1117023.0
10.77,10.78,10.76,10.78,560.0,603166.0
10.78,10.81,10.77,10.8,850.0,917452.0
10.8,10.8,10.78,10.78,591.0,637801.0
10.78,10.78,10.75,10.75,1049.0,1129614.0
10.76,10.76,10.75,10.75,378.0,406524.0
10.75,10.75,10.73,10.74,794.0,853389.0
10.75,10.75,10.74,10.75,534.0,573806.0
10.74,10.77,10.74,10.75,688.0,739694.0
10.76,10.77,10.75,10.76,267.0,287269.0
10.76,10.77,10.75,10.77,413.0,444269.0
10.77,10.77,10.75,10.76,354.0,381125.0
10.76,10.77,10.75,10.76,548.0,589246.0
10.76,10.77,10.75,10.77,161.0,173244.0
10.76,10.76,10.74,10.75,717.0,770739.0
10.75,10.77,10.74,10.75,1060.0,1139564.0
10.74,10.76,10.74,10.75,1763.0,1895320.0
10.76,10.76,10.74,10.76,1084.0,1165763.0
10.75,10.78,10.75,10.77,530.0,570865.0
10.77,10.78,10.76,10.76,196.0,211041.0
10.76,10.79,10.75,10.79,1804.0,1943814.0
10.79,10.82,10.79,10.81,1035.0,1118848.0
10.81,10.82,10.79,10.79,547.0,591019.0
10.79,10.8,10.78,10.78,427.0,460616.0
10.78,10.79,10.77,10.78,203.0,218877.0
10.78,10.79,10.77,10.78,215.0,231756.0
10.79,10.79,10.77,10.77,247.0,266268.0
10.78,10.78,10.77,10.77,535.0,576217.0
10.77,10.77,10.75,10.75,783.0,842646.0
10.76,10.76,10.74,10.74,1477.0,1587487.0
10.74,10.75,10.73,10.73,1833.0,1968273.0
10.73,10.73,10.7,10.71,3718.0,3984256.0
10.7,10.7,10.68,10.69,2073.0,2216308.0
10.69,10.71,10.68,10.71,1095.0,1170831.0
10.71,10.74,10.71,10.72,1847.0,1980159.0
10.72,10.74,10.7,10.74,794.0,851325.0
10.74,10.74,10.72,10.73,794.0,851965.0
10.73,10.74,10.71,10.73,789.0,845945.0
10.72,10.74,10.72,10.73,589.0,631873.0
10.73,10.74,10.71,10.72,842.0,902657.0
10.71,10.74,10.71,10.74,1360.0,1460355.0
10.73,10.74,10.69,10.73,1885.0,2020689.0
10.72,10.8,10.72,10.8,2518.0,2710537.0
10.79,10.83,10.78,10.81,3320.0,3586272.0
10.81,10.82,10.78,10.8,1598.0,1725584.0
10.79,10.8,10.76,10.78,888.0,957446.0
10.77,10.77,10.75,10.75,1257.0,1352415.0
10.73,10.75,10.73,10.74,1306.0,1402518.0
10.73,10.75,10.72,10.74,1359.0,1458216.0
10.74,10.74,10.71,10.72,698.0,748870.0
10.72,10.73,10.71,10.72,447.0,479240.0
10.72,10.73,10.7,10.71,914.0,978891.0
10.72,10.73,10.71,10.73,473.0,507032.0
10.72,10.74,10.72,10.72,446.0,478580.0
10.72,10.75,10.72,10.73,481.0,516539.0
10.73,10.75,10.72,10.72,253.0,271442.0
10.72,10.73,10.7,10.7,1425.0,1526537.0
10.7,10.71,10.69,10.69,730.0,781014.0
10.69,10.7,10.68,10.7,559.0,597502.0
10.71,10.72,10.7,10.71,109.0,116781.0
10.7,10.7,10.7,10.7,198.0,211860.0
10.71,10.72,10.7,10.71,204.0,218628.0
10.71,10.73,10.71,10.73,59.0,63252.0
10.73,10.75,10.71,10.72,642.0,689040.0
10.72,10.74,10.72,10.74,284.0,304706.0
10.74,10.76,10.73,10.76,364.0,391056.0
10.76,10.8,10.76,10.79,1440.0,1552878.0
10.8,10.84,10.79,10.84,4283.0,4631720.0
10.84,10.84,10.79,10.8,1986.0,2148668.0
10.8,10.84,10.78,10.84,2430.0,2627411.0
10.84,10.9,10.83,10.86,3791.0,4118709.0
10.86,10.89,10.85,10.86,1377.0,1496493.0
10.86,10.9,10.86,10.88,1180.0,1283888.0
10.88,10.9,10.87,10.89,1529.0,1665466.0
10.89,10.89,10.86,10.86,410.0,445491.0
10.86,10.89,10.86,10.88,644.0,700660.0
10.88,10.91,10.88,10.91,1248.0,1359552.0
10.91,10.93,10.9,10.93,2252.0,2458953.0
10.92,10.93,10.91,10.93,1526.0,1666662.0
10.94,10.95,10.94,10.94,1239.0,1355751.0
10.95,10.96,10.94,10.95,1395.0,1527981.0
10.95,10.96,10.91,10.91,1933.0,2113366.0
10.93,10.95,10.92,10.93,1343.0,1468562.0
10.94,10.95,10.94,10.95,757.0,828489.0
10.95,10.95,10.92,10.93,2880.0,3151406.0
10.93,10.94,10.91,10.93,584.0,638099.0
10.94,10.94,10.92,10.93,935.0,1021768.0
10.92,10.95,10.92,10.95,1161.0,1269548.0
10.94,10.95,10.93,10.94,1533.0,1677121.0
10.9,10.95,10.88,10.89,3492.0,3812685.0
10.89,10.94,10.88,10.92,1614.0,1761373.0
10.92,10.95,10.91,10.94,1960.0,2142719.0
10.95,10.95,10.89,10.89,1450.0,1582764.0
10.9,10.92,10.86,10.87,1386.0,1509366.0
10.87,10.89,10.87,10.87,773.0,840578.0
10.86,10.87,10.83,10.84,1459.0,1583599.0
10.84,10.86,10.83,10.85,1578.0,1710919.0
10.85,10.85,10.83,10.83,834.0,903790.0
10.83,10.84,10.81,10.82,1468.0,1588873.0
10.83,10.85,10.83,10.84,626.0,678759.0
10.84,10.84,10.83,10.84,429.0,464880.0
10.83,10.84,10.82,10.83,571.0,618513.0
10.83,10.84,10.82,10.82,637.0,689486.0
10.82,10.84,10.81,10.83,767.0,829810.0
10.84,10.85,10.83,10.83,531.0,575489.0
10.83,10.84,10.82,10.84,1098.0,1188825.0
10.84,10.84,10.82,10.82,990.0,1071990.0
10.83,10.84,10.82,10.84,477.0,516567.0
10.83,10.84,10.82,10.82,345.0,373557.0
10.83,10.83,10.8,10.81,782.0,845658.0
10.82,10.82,10.8,10.81,361.0,390229.0
10.81,10.84,10.8,10.84,1289.0,1394340.0
10.84,10.86,10.84,10.86,528.0,572640.0
10.85,10.89,10.85,10.86,1160.0,1261480.0
10.87,10.88,10.84,10.85,351.0,381111.0
10.84,10.87,10.84,10.85,348.0,377656.0
10.85,10.88,10.85,10.87,780.0,847791.0
10.86,10.88,10.86,10.86,444.0,482768.0
10.87,10.87,10.85,10.85,292.0,317012.0
10.84,10.88,10.84,10.87,1277.0,1386244.0
10.87,10.89,10.86,10.88,972.0,1058158.0
10.88,10.9,10.88,10.88,593.0,645736.0
10.88,10.9,10.88,10.88,426.0,464056.0
10.88,10.89,10.87,10.89,358.0,389543.0
10.88,10.89,10.86,10.86,356.0,387207.0
10.87,10.87,10.85,10.87,634.0,688281.0
10.85,10.87,10.83,10.84,611.0,662522.0
10.84,10.87,10.84,10.84,466.0,505737.0
10.84,10.87,10.83,10.87,339.0,367770.0
10.87,10.88,10.86,10.87,841.0,914280.0
10.88,10.88,10.85,10.86,184.0,199877.0
10.87,10.88,10.85,10.86,729.0,792089.0
10.86,10.87,10.84,10.85,872.0,946593.0
10.84,10.85,10.82,10.83,1211.0,1310930.0
10.83,10.85,10.82,10.84,522.0,565554.0
10.85,10.85,10.83,10.85,1092.0,1183811.0
10.85,10.87,10.82,10.82,1977.0,2142644.0
10.81,10.88,10.81,10.85,4912.0,5327352.0
10.85,10.86,10.83,10.85,895.0,970401.0
10.86,10.9,10.85,10.88,3102.0,3374576.0
10.88,10.91,10.85,10.89,2160.0,2350604.0
10.89,10.92,10.89,10.91,936.0,1021115.0
10.9,10.93,10.89,10.92,1766.0,1927493.0
10.92,10.92,10.89,10.9,1859.0,2027228.0
10.9,10.91,10.89,10.91,822.0,895634.0
10.89,10.92,10.89,10.9,627.0,684177.0
10.9,10.91,10.89,10.89,755.0,822679.0
10.91,10.94,10.91,10.93,1589.0,1735513.0
10.93,10.94,10.92,10.94,1229.0,1344131.0
10.94,10.95,10.93,10.94,744.0,813853.0
10.93,10.95,10.93,10.94,969.0,1060256.0
10.93,10.94,10.92,10.92,380.0,415348.0
10.93,10.93,10.92,10.93,405.0,442304.0
10.92,10.94,10.92,10.93,876.0,956799.0
10.93,10.95,10.92,10.95,555.0,606735.0
10.94,10.94,10.91,10.91,520.0,568139.0
10.91,10.91,10.88,10.89,693.0,754878.0
10.89,10.89,10.88,10.88,417.0,453945.0
10.88,10.9,10.88,10.89,84.0,91487.0
10.89,10.9,10.89,10.89,206.0,224402.0
10.9,10.91,10.88,10.9,427.0,465291.0
10.9,10.92,10.89,10.89,730.0,795760.0
10.88,10.89,10.86,10.86,1419.0,1542736.0
10.86,10.87,10.83,10.83,2459.0,2666148.0
10.83,10.84,10.81,10.83,2862.0,3097616.0
10.82,10.83,10.8,10.8,3794.0,4101393.0
10.8,10.81,10.78,10.78,3307.0,3568649.0
10.78,10.85,10.78,10.84,3147.0,3402105.0
10.84,10.84,10.82,10.82,1210.0,1310800.0
10.82,10.85,10.82,10.84,823.0,891992.0
10.84,10.85,10.82,10.83,713.0,772348.0
10.83,10.84,10.82,10.83,569.0,616388.0
10.83,10.84,10.82,10.82,303.0,328051.0
